Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.3024,256,0.000080,10 pairs: 256 images;
1,20,2.2928,256,0.000080,10 pairs: 255 images; 4 pairs: 1 images;
1,30,2.2850,256,0.000080,10 pairs: 254 images; 4 pairs: 1 images;
1,40,2.2870,256,0.000080,10 pairs: 256 images;
1,50,2.2682,256,0.000080,10 pairs: 254 images; 4 pairs: 2 images;
1,60,2.2888,256,0.000080,10 pairs: 255 images; 8 pairs: 1 images;
1,70,2.2698,256,0.000080,10 pairs: 255 images; 8 pairs: 1 images;
1,80,2.2736,256,0.000080,10 pairs: 252 images; 8 pairs: 3 images; 4 pairs: 1 images;
1,90,2.2625,256,0.000080,10 pairs: 250 images; 8 pairs: 2 images; 4 pairs: 4 images;
1,100,2.2613,256,0.000080,10 pairs: 248 images; 8 pairs: 3 images; 4 pairs: 4 images; 2 pairs: 1 images;
1,110,2.2718,256,0.000080,10 pairs: 247 images; 8 pairs: 2 images; 6 pairs: 1 images; 4 pairs: 6 images;
1,120,2.2627,256,0.000080,10 pairs: 241 images; 8 pairs: 4 images; 4 pairs: 11 images;
1,130,2.2472,256,0.000080,10 pairs: 240 images; 8 pairs: 7 images; 4 pairs: 9 images;
1,140,2.2494,256,0.000080,10 pairs: 239 images; 8 pairs: 3 images; 6 pairs: 2 images; 4 pairs: 12 images;
1,150,2.2294,256,0.000080,10 pairs: 233 images; 8 pairs: 8 images; 6 pairs: 2 images; 4 pairs: 13 images;
1,160,2.2385,256,0.000080,10 pairs: 229 images; 8 pairs: 7 images; 6 pairs: 4 images; 4 pairs: 14 images; 2 pairs: 2 images;
1,170,2.2537,256,0.000080,10 pairs: 234 images; 8 pairs: 2 images; 6 pairs: 3 images; 4 pairs: 15 images; 2 pairs: 2 images;
1,180,2.2143,256,0.000080,10 pairs: 220 images; 8 pairs: 5 images; 6 pairs: 6 images; 4 pairs: 24 images; 2 pairs: 1 images;
1,190,2.2016,256,0.000080,10 pairs: 219 images; 8 pairs: 7 images; 6 pairs: 6 images; 4 pairs: 21 images; 2 pairs: 3 images;
2,10,2.2246,256,0.000081,10 pairs: 214 images; 8 pairs: 9 images; 6 pairs: 8 images; 4 pairs: 19 images; 2 pairs: 6 images;
2,20,2.1815,256,0.000081,10 pairs: 206 images; 8 pairs: 17 images; 6 pairs: 7 images; 4 pairs: 22 images; 2 pairs: 4 images;
2,30,2.2150,256,0.000081,10 pairs: 211 images; 8 pairs: 10 images; 6 pairs: 11 images; 4 pairs: 23 images; 2 pairs: 1 images;
2,40,2.2262,256,0.000081,10 pairs: 206 images; 8 pairs: 17 images; 6 pairs: 13 images; 4 pairs: 20 images;
2,50,2.2322,256,0.000081,10 pairs: 206 images; 8 pairs: 14 images; 6 pairs: 8 images; 4 pairs: 26 images; 2 pairs: 2 images;
2,60,2.1933,256,0.000081,10 pairs: 195 images; 8 pairs: 17 images; 6 pairs: 15 images; 4 pairs: 27 images; 2 pairs: 2 images;
2,70,2.2037,256,0.000081,10 pairs: 189 images; 8 pairs: 24 images; 6 pairs: 15 images; 4 pairs: 24 images; 2 pairs: 4 images;
2,80,2.1992,256,0.000081,10 pairs: 190 images; 8 pairs: 21 images; 6 pairs: 13 images; 4 pairs: 27 images; 2 pairs: 5 images;
2,90,2.1834,256,0.000081,10 pairs: 190 images; 8 pairs: 17 images; 6 pairs: 15 images; 4 pairs: 26 images; 2 pairs: 8 images;
2,100,2.1927,256,0.000081,10 pairs: 174 images; 8 pairs: 23 images; 6 pairs: 16 images; 4 pairs: 37 images; 2 pairs: 6 images;
2,110,2.2203,256,0.000081,10 pairs: 190 images; 8 pairs: 19 images; 6 pairs: 10 images; 4 pairs: 31 images; 2 pairs: 5 images;
2,120,2.1793,256,0.000081,10 pairs: 182 images; 8 pairs: 18 images; 6 pairs: 20 images; 4 pairs: 28 images; 2 pairs: 8 images;
2,130,2.1501,256,0.000081,10 pairs: 181 images; 8 pairs: 21 images; 6 pairs: 15 images; 4 pairs: 36 images; 2 pairs: 3 images;
2,140,2.1532,256,0.000081,10 pairs: 184 images; 8 pairs: 22 images; 6 pairs: 14 images; 4 pairs: 28 images; 2 pairs: 8 images;
2,150,2.1489,256,0.000081,10 pairs: 175 images; 8 pairs: 20 images; 6 pairs: 20 images; 4 pairs: 36 images; 2 pairs: 5 images;
2,160,2.1767,256,0.000081,10 pairs: 166 images; 8 pairs: 20 images; 6 pairs: 27 images; 4 pairs: 34 images; 2 pairs: 9 images;
2,170,2.1490,256,0.000081,10 pairs: 175 images; 8 pairs: 23 images; 6 pairs: 16 images; 4 pairs: 36 images; 2 pairs: 6 images;
2,180,2.1669,256,0.000081,10 pairs: 164 images; 8 pairs: 23 images; 6 pairs: 31 images; 4 pairs: 27 images; 2 pairs: 11 images;
2,190,2.1809,256,0.000081,10 pairs: 169 images; 8 pairs: 20 images; 6 pairs: 23 images; 4 pairs: 38 images; 2 pairs: 6 images;
3,10,2.1467,256,0.000085,10 pairs: 159 images; 8 pairs: 38 images; 6 pairs: 22 images; 4 pairs: 32 images; 2 pairs: 5 images;
3,20,2.1826,256,0.000085,10 pairs: 164 images; 8 pairs: 26 images; 6 pairs: 30 images; 4 pairs: 31 images; 2 pairs: 5 images;
3,30,2.1947,256,0.000085,10 pairs: 152 images; 8 pairs: 41 images; 6 pairs: 27 images; 4 pairs: 29 images; 2 pairs: 7 images;
